latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
38.077796,-76.573133,014,034,1558,1670,2025-09-22,1540,L8,high,D
38.077525,-76.573127,014,034,1558,1671,2025-09-22,1540,L8,high,D
38.0778,-76.572791,014,034,1559,1670,2025-09-22,1540,L8,high,D
38.07753,-76.572785,014,034,1559,1671,2025-09-22,1540,L8,high,D
38.077805,-76.572449,014,034,1560,1670,2025-09-22,1540,L8,medium,D
38.391278,-76.413304,014,034,2043,518,2025-09-22,1540,L8,medium,D
37.707605,-75.799871,014,034,3807,3068,2025-09-22,1540,L8,high,D
37.595818,-75.734104,014,034,3997,3483,2025-09-22,1540,L8,high,D
36.833897,-75.248011,014,034,5420,6308,2025-09-22,1540,L8,high,D
38.391278,-76.413304,014,033,733,5788,2025-09-22,1540,L8,medium,D
39.180574,-76.229267,014,033,1308,2876,2025-09-22,1540,L8,high,D
39.666731,-76.215805,014,033,1371,1078,2025-09-22,1540,L8,high,D
39.83066,-76.176972,014,033,1490,473,2025-09-22,1540,L8,high,D
39.830389,-76.176967,014,033,1490,474,2025-09-22,1540,L8,high,D
38.651911,-75.990227,014,033,1975,4840,2025-09-22,1540,L8,high,D
38.652187,-75.989541,014,033,1977,4839,2025-09-22,1540,L8,high,D
39.161599,-75.800799,014,033,2541,2960,2025-09-22,1540,L8,medium,D
38.721985,-75.287876,014,033,4013,4595,2025-09-22,1540,L8,high,D
39.422963,-74.54208,014,033,6161,2000,2025-09-22,1540,L8,high,D
45.837276,-73.251257,014,028,3044,4622,2025-09-22,1538,L8,medium,D
45.837271,-73.250871,014,028,3045,4622,2025-09-22,1538,L8,medium,D
45.839376,-73.247328,014,028,3054,4614,2025-09-22,1538,L8,medium,D
45.839107,-73.247337,014,028,3054,4615,2025-09-22,1538,L8,high,D
45.839371,-73.246942,014,028,3055,4614,2025-09-22,1538,L8,high,D
45.839101,-73.246951,014,028,3055,4615,2025-09-22,1538,L8,high,D
45.838831,-73.246959,014,028,3055,4616,2025-09-22,1538,L8,medium,D
46.043986,-73.140828,014,028,3312,3850,2025-09-22,1538,L8,low,D
46.043716,-73.140837,014,028,3312,3851,2025-09-22,1538,L8,high,D
46.043446,-73.140846,014,028,3312,3852,2025-09-22,1538,L8,high,D
46.04371,-73.140449,014,028,3313,3851,2025-09-22,1538,L8,high,D
45.874811,-72.869694,014,028,4028,4459,2025-09-22,1538,L8,high,D
45.874541,-72.869705,014,028,4028,4460,2025-09-22,1538,L8,low,D
45.874804,-72.869308,014,028,4029,4459,2025-09-22,1538,L8,low,D
46.111634,-72.342298,014,028,5363,3541,2025-09-22,1538,L8,high,D
42.671006,-75.299175,014,030,200,5823,2025-09-22,1539,L8,low,D
42.859341,-74.482276,014,030,2427,5123,2025-09-22,1539,L8,low,D
42.708235,-74.408802,014,030,2631,5681,2025-09-22,1539,L8,high,D
42.708233,-74.408436,014,030,2632,5681,2025-09-22,1539,L8,high,D
42.490752,-73.765071,014,030,4400,6467,2025-09-22,1539,L8,low,D
42.992207,-73.69546,014,030,4562,4608,2025-09-22,1539,L8,low,D
43.348957,-72.997139,014,030,6428,3250,2025-09-22,1539,L8,high,D
39.666731,-76.215805,014,032,81,6358,2025-09-22,1540,L8,high,D
39.830389,-76.176967,014,032,200,5754,2025-09-22,1540,L8,high,D
40.174408,-75.913348,014,032,965,4490,2025-09-22,1540,L8,high,D
39.422963,-74.54208,014,032,4871,7280,2025-09-22,1540,L8,high,D
30.635129,-91.063315,022,039,784,2665,2025-09-22,1632,L9,high,D
30.634858,-91.063321,022,039,784,2666,2025-09-22,1632,L9,high,D
30.210923,-91.038024,022,039,892,4231,2025-09-22,1632,L9,high,D
30.188354,-90.960273,022,039,1143,4310,2025-09-22,1632,L9,high,D
30.589535,-90.949104,022,039,1152,2827,2025-09-22,1632,L9,high,D
30.034086,-90.960331,022,039,1153,4880,2025-09-22,1632,L9,medium,D
30.033815,-90.960336,022,039,1153,4881,2025-09-22,1632,L9,high,D
30.37349,-90.893078,022,039,1346,3622,2025-09-22,1632,L9,high,D
30.373219,-90.893084,022,039,1346,3623,2025-09-22,1632,L9,low,D
30.374021,-90.892442,022,039,1348,3620,2025-09-22,1632,L9,medium,D
30.37375,-90.892448,022,039,1348,3621,2025-09-22,1632,L9,high,D
30.486988,-90.882824,022,039,1371,3202,2025-09-22,1632,L9,high,D
30.274829,-90.850601,022,039,1489,3984,2025-09-22,1632,L9,low,D
30.054148,-90.669348,022,039,2087,4788,2025-09-22,1632,L9,high,D
30.053878,-90.669354,022,039,2087,4789,2025-09-22,1632,L9,high,D
30.054143,-90.669037,022,039,2088,4788,2025-09-22,1632,L9,high,D
30.053872,-90.669043,022,039,2088,4789,2025-09-22,1632,L9,high,D
29.943768,-90.671305,022,039,2089,5196,2025-09-22,1632,L9,high,D
29.943497,-90.671312,022,039,2089,5197,2025-09-22,1632,L9,high,D
29.944033,-90.670988,022,039,2090,5195,2025-09-22,1632,L9,high,D
29.943762,-90.670995,022,039,2090,5196,2025-09-22,1632,L9,high,D
29.943492,-90.671001,022,039,2090,5197,2025-09-22,1632,L9,low,D
29.944016,-90.670057,022,039,2093,5195,2025-09-22,1632,L9,high,D
29.943746,-90.670063,022,039,2093,5196,2025-09-22,1632,L9,high,D
29.944011,-90.669746,022,039,2094,5195,2025-09-22,1632,L9,high,D
29.94374,-90.669752,022,039,2094,5196,2025-09-22,1632,L9,high,D
29.94347,-90.669759,022,039,2094,5197,2025-09-22,1632,L9,high,D
29.943735,-90.669442,022,039,2095,5196,2025-09-22,1632,L9,high,D
29.943464,-90.669448,022,039,2095,5197,2025-09-22,1632,L9,high,D
29.943729,-90.669131,022,039,2096,5196,2025-09-22,1632,L9,high,D
29.943459,-90.669137,022,039,2096,5197,2025-09-22,1632,L9,medium,D
29.943961,-90.66695,022,039,2103,5195,2025-09-22,1632,L9,low,D
29.943691,-90.666957,022,039,2103,5196,2025-09-22,1632,L9,high,D
29.94342,-90.666963,022,039,2103,5197,2025-09-22,1632,L9,high,D
29.943956,-90.66664,022,039,2104,5195,2025-09-22,1632,L9,high,D
29.944221,-90.666323,022,039,2105,5194,2025-09-22,1632,L9,high,D
29.94395,-90.666329,022,039,2105,5195,2025-09-22,1632,L9,high,D
29.944215,-90.666012,022,039,2106,5194,2025-09-22,1632,L9,high,D
29.943945,-90.666019,022,039,2106,5195,2025-09-22,1632,L9,high,D
29.943674,-90.666025,022,039,2106,5196,2025-09-22,1632,L9,medium,D
29.943133,-90.666038,022,039,2106,5198,2025-09-22,1632,L9,medium,D
29.942863,-90.666044,022,039,2106,5199,2025-09-22,1632,L9,low,D
29.94421,-90.665702,022,039,2107,5194,2025-09-22,1632,L9,low,D
29.943939,-90.665708,022,039,2107,5195,2025-09-22,1632,L9,high,D
29.943669,-90.665714,022,039,2107,5196,2025-09-22,1632,L9,medium,D
29.943128,-90.665727,022,039,2107,5198,2025-09-22,1632,L9,high,D
29.942857,-90.665733,022,039,2107,5199,2025-09-22,1632,L9,high,D
29.943934,-90.665397,022,039,2108,5195,2025-09-22,1632,L9,high,D
29.943663,-90.665404,022,039,2108,5196,2025-09-22,1632,L9,high,D
29.943122,-90.665416,022,039,2108,5198,2025-09-22,1632,L9,medium,D
29.942852,-90.665423,022,039,2108,5199,2025-09-22,1632,L9,low,D
29.943658,-90.665093,022,039,2109,5196,2025-09-22,1632,L9,high,D
29.943652,-90.664782,022,039,2110,5196,2025-09-22,1632,L9,high,D
29.943647,-90.664472,022,039,2111,5196,2025-09-22,1632,L9,high,D
29.943376,-90.664478,022,039,2111,5197,2025-09-22,1632,L9,medium,D
29.943641,-90.664161,022,039,2112,5196,2025-09-22,1632,L9,high,D
29.943371,-90.664167,022,039,2112,5197,2025-09-22,1632,L9,high,D
29.943365,-90.663857,022,039,2113,5197,2025-09-22,1632,L9,high,D
29.943095,-90.663863,022,039,2113,5198,2025-09-22,1632,L9,medium,D
29.943089,-90.663553,022,039,2114,5198,2025-09-22,1632,L9,high,D
30.054207,-90.642282,022,039,2174,4786,2025-09-22,1632,L9,high,D
30.118581,-90.640442,022,039,2175,4548,2025-09-22,1632,L9,high,D
30.118311,-90.640448,022,039,2175,4549,2025-09-22,1632,L9,high,D
29.864126,-90.636519,022,039,2207,5488,2025-09-22,1632,L9,high,D
29.863855,-90.636526,022,039,2207,5489,2025-09-22,1632,L9,high,D
29.863584,-90.636532,022,039,2207,5490,2025-09-22,1632,L9,low,D
29.863849,-90.636215,022,039,2208,5489,2025-09-22,1632,L9,high,D
29.864379,-90.635582,022,039,2210,5487,2025-09-22,1632,L9,low,D
29.864374,-90.635272,022,039,2211,5487,2025-09-22,1632,L9,high,D
30.06079,-90.602304,022,039,2302,4759,2025-09-22,1632,L9,high,D
30.06052,-90.602311,022,039,2302,4760,2025-09-22,1632,L9,high,D
30.060785,-90.601993,022,039,2303,4759,2025-09-22,1632,L9,high,D
30.060514,-90.602,022,039,2303,4760,2025-09-22,1632,L9,high,D
29.734195,-90.589959,022,039,2367,5965,2025-09-22,1632,L9,high,D
29.987979,-90.443339,022,039,2819,5017,2025-09-22,1632,L9,high,D
29.991097,-90.395386,022,039,2973,5002,2025-09-22,1632,L9,high,D
29.925893,-90.355148,022,039,3108,5240,2025-09-22,1632,L9,high,D
30.662235,-90.319652,022,039,3158,2516,2025-09-22,1632,L9,low,D
29.487594,-90.291767,022,039,3350,6855,2025-09-22,1632,L9,high,D
29.487588,-90.291458,022,039,3351,6855,2025-09-22,1632,L9,high,D
30.510709,-90.203513,022,039,3543,3067,2025-09-22,1632,L9,high,D
30.510438,-90.20352,022,039,3543,3068,2025-09-22,1632,L9,high,D
30.510702,-90.2032,022,039,3544,3067,2025-09-22,1632,L9,high,D
30.510432,-90.203208,022,039,3544,3068,2025-09-22,1632,L9,high,D
30.510161,-90.203216,022,039,3544,3069,2025-09-22,1632,L9,high,D
30.510154,-90.202904,022,039,3545,3069,2025-09-22,1632,L9,high,D
30.510148,-90.202591,022,039,3546,3069,2025-09-22,1632,L9,high,D
30.490362,-90.200971,022,039,3553,3142,2025-09-22,1632,L9,high,D
30.629462,-90.165061,022,039,3655,2625,2025-09-22,1632,L9,high,D
30.791623,-89.909304,022,039,4456,2004,2025-09-22,1632,L9,high,D
30.791615,-89.908991,022,039,4457,2004,2025-09-22,1632,L9,high,D
30.303595,-89.886391,022,039,4579,3806,2025-09-22,1632,L9,high,D
29.601534,-89.897375,022,039,4614,6402,2025-09-22,1632,L9,low,D
29.600993,-89.897391,022,039,4614,6404,2025-09-22,1632,L9,low,D
29.600445,-89.897098,022,039,4615,6406,2025-09-22,1632,L9,high,D
29.596113,-89.896922,022,039,4616,6422,2025-09-22,1632,L9,medium,D
29.595697,-89.890743,022,039,4636,6423,2025-09-22,1632,L9,high,D
29.596231,-89.890417,022,039,4637,6421,2025-09-22,1632,L9,high,D
29.596764,-89.890091,022,039,4638,6419,2025-09-22,1632,L9,high,D
30.688786,-89.785194,022,039,4863,2373,2025-09-22,1632,L9,high,D
29.879364,-89.79474,022,039,4917,5366,2025-09-22,1632,L9,high,D
29.879094,-89.794749,022,039,4917,5367,2025-09-22,1632,L9,high,D
29.879357,-89.79443,022,039,4918,5366,2025-09-22,1632,L9,high,D
29.879087,-89.794439,022,039,4918,5367,2025-09-22,1632,L9,high,D
29.879349,-89.79412,022,039,4919,5366,2025-09-22,1632,L9,high,D
29.878809,-89.794137,022,039,4919,5368,2025-09-22,1632,L9,high,D
30.630134,-89.464344,022,039,5895,2559,2025-09-22,1632,L9,high,D
30.413986,-89.432851,022,039,6021,3355,2025-09-22,1632,L9,high,D
30.413715,-89.432861,022,039,6021,3356,2025-09-22,1632,L9,high,D
30.413977,-89.432539,022,039,6022,3355,2025-09-22,1632,L9,low,D
30.446912,-89.420413,022,039,6057,3232,2025-09-22,1632,L9,high,D
30.422261,-89.22721,022,039,6679,3303,2025-09-22,1632,L9,medium,D
32.438767,-90.489559,022,038,1670,1306,2025-09-22,1631,L9,high,D
32.438497,-90.489549,022,038,1670,1307,2025-09-22,1631,L9,high,D
32.438505,-90.48923,022,038,1671,1307,2025-09-22,1631,L9,high,D
32.2477,-90.405852,022,038,1910,2021,2025-09-22,1631,L9,high,D
32.761047,-90.393276,022,038,2010,124,2025-09-22,1631,L9,high,D
32.004771,-90.337478,022,038,2097,2926,2025-09-22,1631,L9,high,D
31.978561,-90.284807,022,038,2260,3028,2025-09-22,1631,L9,high,D
31.978291,-90.284798,022,038,2260,3029,2025-09-22,1631,L9,high,D
31.978569,-90.28449,022,038,2261,3028,2025-09-22,1631,L9,high,D
32.30715,-90.264458,022,038,2361,1815,2025-09-22,1631,L9,high,D
32.183348,-90.251441,022,038,2388,2274,2025-09-22,1631,L9,low,D
32.183077,-90.251432,022,038,2388,2275,2025-09-22,1631,L9,high,D
32.183356,-90.251124,022,038,2389,2274,2025-09-22,1631,L9,high,D
32.183086,-90.251114,022,038,2389,2275,2025-09-22,1631,L9,high,D
32.183314,-90.242217,022,038,2417,2275,2025-09-22,1631,L9,high,D
32.183044,-90.242208,022,038,2417,2276,2025-09-22,1631,L9,high,D
